row,tank,temp,light,treatment,timepoint,time,date,species,dryweight_chem,dryweight,wetweight,buoyant_mass,prb,notes,sample_id,d15N,d13C,N,C,C/N,piC,comments,prC
1,,15,Y,15,T0,0,"June 29, 2022",Ecklonia radiata,1.60,1.60,9.83,,1.00,,Er_T0_01,3.74,-20.3,0.7,26.3,36.1,0.96,,0.96
2,,15,Y,15,T0,0,"June 29, 2022",Ecklonia radiata,1.63,1.63,10.27,,1.02,,Er_T0_02,4.43,-20.53,0.8,27.3,33.7,1.00,,1.01
3,,15,Y,15,T0,0,"June 29, 2022",Ecklonia radiata,1.60,1.60,10.15,,1.00,,Er_T0_03,3.86,-21.54,0.6,27.8,46.3,1.01,,1.00
4,,15,Y,15,T0,0,"June 29, 2022",Ecklonia radiata,1.66,1.66,10.49,,1.04,,Er_T0_04,3.51,-21.12,0.7,26.6,40.5,0.96,,0.99
5,,15,Y,15,T0,0,"June 29, 2022",Ecklonia radiata,1.41,1.41,9.67,,0.88,,Er_T0_05,4.54,-21.55,0.7,25,37.9,0.89,,0.78
6,,15,Y,15,T0,0,"June 29, 2022",Ecklonia radiata,1.60,1.60,,,1.00,,Er_T0_06,4.52,-20.08,0.6,28.4,45.5,1.00,,0.99
7,,15,Y,15,T0,0,"June 29, 2022",Ecklonia radiata,1.77,1.77,,,1.10,,Er_T0_07,3.52,-21.54,0.6,27.3,48.7,0.96,,1.05
8,,15,Y,15,T0,0,"June 29, 2022",Ecklonia radiata,1.64,1.64,,,1.03,,Er_T0_08,4.65,-20.51,0.8,28.6,37.1,0.99,,1.03
9,,15,Y,15,T0,0,"June 29, 2022",Ecklonia radiata,1.92,1.92,,,1.20,,Er_T0_09,4.15,-20.46,0.6,28.7,48.6,1.01,,1.22
10,,15,Y,15,T0,0,"June 29, 2022",Ecklonia radiata,1.18,1.18,,,0.74,,Er_T0_10,4.66,-22.69,0.8,26.3,31.6,0.93,,0.69
6,1,15,Y,15,T1,7,"July 5, 2022",Ecklonia radiata,1.60,1.60,9.48,11.48,1.00,,Er_T1_01,4.85,-21.34,0.9,30,31.9,1.06,,1.05
7,2,15,Y,15,T1,7,"July 5, 2022",Ecklonia radiata,1.58,1.58,9.40,11.38,0.99,,Er_T1_02,4.57,-22.25,0.8,29.6,38.7,1.05,,1.04
8,3,15,Y,15,T1,7,"July 5, 2022",Ecklonia radiata,1.34,1.34,10.11,12.24,0.84,,Er_T1_03,4.08,-24.68,1,29.1,27.8,1.04,,0.87
9,4,15,Y,15,T1,7,"July 5, 2022",Ecklonia radiata,1.25,1.25,9.22,11.17,0.78,,Er_T1_04,4.53,-22.95,0.9,28.6,30.5,1.02,,0.81
10,5,15,N,dark,T1,7,"July 5, 2022",Ecklonia radiata,0.93,0.93,9.45,11.45,0.58,,Er_T1_05,5.38,-22.07,1.2,28.6,24.2,1.05,,0.61
11,6,15,N,dark,T1,7,"July 5, 2022",Ecklonia radiata,1.15,1.15,9.78,11.85,0.72,,Er_T1_06,4.8,-21.18,1,29.2,28.7,1.07,,0.77
12,7,15,N,dark,T1,7,"July 5, 2022",Ecklonia radiata,1.17,1.17,9.27,11.23,0.73,,Er_T1_07,4.28,-21.39,0.8,26.4,32.2,0.98,,0.72
13,8,15,N,dark,T1,7,"July 5, 2022",Ecklonia radiata,1.09,1.09,8.88,10.76,0.68,,Er_T1_08,4.88,-23.58,1,26,25.2,0.97,,0.66
14,9,20,Y,20,T1,7,"July 5, 2022",Ecklonia radiata,1.47,1.47,9.60,11.63,0.92,,Er_T1_09,4.47,-19.76,0.7,27.9,40,1.04,,0.96
15,10,20,Y,20,T1,7,"July 5, 2022",Ecklonia radiata,1.26,1.26,8.96,10.85,0.79,,Er_T1_10,4.02,-19.37,0.4,29.5,75.1,1.11,,0.87
16,11,20,Y,20,T1,7,"July 5, 2022",Ecklonia radiata,1.57,1.57,9.13,11.06,0.98,,Er_T1_11,5.11,-22.16,1.1,26.8,25,1.01,,1.01
17,12,20,Y,20,T1,7,"July 5, 2022",Ecklonia radiata,1.73,1.73,9.24,11.19,1.08,,Er_T1_12,3.8,-21.48,0.6,28.3,47.7,1.09,,1.19
18,13,25,Y,25,T1,7,"July 5, 2022",Ecklonia radiata,0.97,0.97,9.30,11.26,0.61,,Er_T1_13,5.39,-22.12,0.9,23.4,24.8,0.93,,0.56
19,14,25,Y,25,T1,7,"July 5, 2022",Ecklonia radiata,0.85,0.85,8.78,10.64,0.53,,Er_T1_14,5.9,-21.33,1.3,27.3,21.5,1.06,,0.56
20,15,25,Y,25,T1,7,"July 5, 2022",Ecklonia radiata,0.87,0.87,9.24,11.19,0.54,,Er_T1_15,5.42,-21.34,1.2,26.8,23.3,1.04,,0.57
21,16,25,Y,25,T1,7,"July 5, 2022",Ecklonia radiata,0.85,0.85,9.46,11.46,0.53,,Er_T1_16,5.01,-20.97,1.2,25.1,21.1,0.99,,0.54
22,1,15,Y,15,T2,14,"July 12, 2022",Ecklonia radiata,1.36,1.36,9.57,12.29,0.85,,Er_T2_01,4.77,-23.54,0.8,27.1,33.2,1.10,,0.95
23,2,15,Y,15,T2,14,"July 12, 2022",Ecklonia radiata,1.12,1.12,9.21,10.99,0.70,,Er_T2_02,5.26,-23.31,0.9,25.3,27.5,1.06,,0.76
24,3,15,Y,15,T2,14,"July 12, 2022",Ecklonia radiata,1.50,1.50,9.09,11.30,0.93,,Er_T2_03,5.13,-22.84,0.7,27.6,42.1,1.20,,1.09
25,4,15,Y,15,T2,14,"July 12, 2022",Ecklonia radiata,1.45,1.45,9.93,11.56,0.91,,Er_T2_04,4.8,-21.5,1.1,22.9,20.8,0.99,,0.93
26,5,15,N,dark,T2,14,"July 12, 2022",Ecklonia radiata,1.39,1.39,9.54,11.20,0.87,,Er_T2_05,5.24,-19.73,0.6,21.9,38.5,0.98,,0.88
27,6,15,N,dark,T2,14,"July 12, 2022",Ecklonia radiata,1.21,1.21,8.55,10.57,0.75,,Er_T2_06,4.89,-20.36,1,27.8,28.4,1.29,,0.99
28,7,15,N,dark,T2,14,"July 12, 2022",Ecklonia radiata,1.80,1.80,9.46,11.60,1.12,,Er_T2_07,4.35,-20.04,0.4,27.9,62.7,1.37,,
29,8,15,N,dark,T2,14,"July 12, 2022",Ecklonia radiata,1.14,1.14,8.64,10.18,0.71,,Er_T2_08,5.24,-22.25,0.9,22.6,24,1.15,,0.79
30,9,20,Y,20,T2,14,"July 12, 2022",Ecklonia radiata,0.62,0.62,10.11,12.24,0.39,,Er_T2_09,5.25,-22.32,0.7,18.4,26.1,0.92,,0.35
31,10,20,Y,20,T2,14,"July 12, 2022",Ecklonia radiata,0.66,0.66,7.89,9.56,0.41,,Er_T2_10,5.45,-22.02,0.9,20.2,23.3,0.98,,0.39
32,11,20,Y,20,T2,14,"July 12, 2022",Ecklonia radiata,0.82,0.82,8.08,9.79,0.51,,Er_T2_11,5.5,-22.59,0.8,17.4,20.7,0.82,,0.40
33,12,20,Y,20,T2,14,"July 12, 2022",Ecklonia radiata,1.68,1.68,9.64,11.67,1.05,,Er_T2_12,4.13,-19.65,0.7,29.1,43.1,1.29,,1.32
34,13,25,Y,25,T2,14,"July 12, 2022",Ecklonia radiata,0.43,0.43,8.45,10.24,0.27,,Er_T2_13,5.36,-20.55,1.3,16.4,12.6,0.73,,0.19
35,14,25,Y,25,T2,14,"July 12, 2022",Ecklonia radiata,0.04,0.04,2.38,2.88,0.02,,Er_T2_14,5.47,-21.42,0.8,14.3,18,0.60,,0.01
36,15,25,Y,25,T2,14,"July 12, 2022",Ecklonia radiata,0.13,0.13,4.16,5.04,0.08,,Er_T2_15,5.65,-21.45,1.1,16.5,15.3,0.66,,0.05
37,16,25,Y,25,T2,14,"July 12, 2022",Ecklonia radiata,0.12,0.12,4.83,5.85,0.07,,Er_T2_16,5.42,-19.5,1.3,21.7,17.1,0.83,,0.06
38,9,20,Y,20,T3,18,"July 16, 2022",Ecklonia radiata,0.33,0.33,1.75,,0.21,,Er_T3_09,6.36,-21.29,1.8,26.3,14.6,0.98,,0.21
39,10,20,Y,20,T3,18,"July 16, 2022",Ecklonia radiata,0.49,0.49,1.78,,0.31,,Er_T3_10,5.25,-21.02,1.6,22.9,14.5,0.86,,0.26
40,11,20,Y,20,T3,18,"July 16, 2022",Ecklonia radiata,1.04,1.04,3.46,,0.65,,Er_T3_11,4.7,-22.5,1.1,26.4,24.6,0.98,,0.63
41,12,20,Y,20,T3,18,"July 16, 2022",Ecklonia radiata,0.94,0.94,9.97,,0.59,,Er_T3_12,5.15,-20.59,1.1,30.1,28.5,1.11,,0.66
42,13,25,Y,25,T3,18,"July 16, 2022",Ecklonia radiata,0.46,0.46,0.00,,0.29,0.36,Er_T3_13,4.72,-19.61,0.8,26.9,33.1,1.01,,0.29
43,14,25,Y,25,T3,18,"July 16, 2022",Ecklonia radiata,0.26,0.26,5.01,,0.16,,Er_T3_14,4.83,-21.93,1.1,28.1,24.7,1.06,,0.17
44,15,25,Y,25,T3,18,"July 16, 2022",Ecklonia radiata,0.30,0.30,0.00,,0.19,,Er_T3_15,4.54,-18.89,0.7,27.7,38.3,1.05,,0.20
45,16,25,Y,25,T3,18,"July 16, 2022",Ecklonia radiata,1.29,1.29,7.95,,0.80,,Er_T3_16,4.89,-23.89,0.9,24.1,27.9,0.94,,0.75
46,9,20,Y,20,T4,21,"July 19, 2022",Ecklonia radiata,0.24,0.24,1.63,,0.15,,Er_T4_09,4.58,-20.95,1.5,29.2,19.6,1.12,,0.17
47,10,20,Y,20,T4,21,"July 19, 2022",Ecklonia radiata,0.31,0.31,2.60,,0.19,,Er_T4_10,5.28,-22.27,1.1,24.4,21.6,0.97,,0.19
48,11,20,Y,20,T4,21,"July 19, 2022",Ecklonia radiata,1.09,1.09,6.96,,0.68,,Er_T4_11,4.71,-20.89,1,26.5,27.1,1.06,,0.73
49,12,20,Y,20,T4,21,"July 19, 2022",Ecklonia radiata,0.96,0.96,6.49,,0.60,,Er_T4_12,4.94,-23.01,0.9,26.8,31,1.08,,0.65
50,13,25,Y,25,T4,21,"July 19, 2022",Ecklonia radiata,0.68,0.68,4.95,,0.42,0.40,Er_T4_13,5.37,-19.94,1.3,26.3,21,1.08,,0.47
51,14,25,Y,25,T4,21,"July 19, 2022",Ecklonia radiata,0.74,0.00,0.00,,0.00,,Er_T4_14,4.11,-20.48,0.9,25.2,27.3,1.07,,0.00
52,15,25,Y,25,T4,21,"July 19, 2022",Ecklonia radiata,1.46,0.00,0.00,,0.00,,Er_T4_15,4.75,-20.81,0.8,26.7,34.4,1.16,,0.00
53,16,25,Y,25,T4,21,"July 19, 2022",Ecklonia radiata,1.87,1.87,10.51,,1.17,,Er_T4_16,4.4,-21.3,0.8,22,27.4,0.96,,1.14
54,1,15,Y,15,T5,28,"July 26, 2022",Ecklonia radiata,1.15,1.15,8.47,10.77,0.72,,Er_T5_01,5.89,-22.73,1,26.6,26,1.18,,0.83
55,2,15,Y,15,T5,28,"July 26, 2022",Ecklonia radiata,0.94,0.94,8.06,10.51,0.58,,Er_T5_02,6.09,-23.63,1,21.5,22.2,0.96,,0.55
56,3,15,Y,15,T5,28,"July 26, 2022",Ecklonia radiata,0.63,0.63,5.46,7.97,0.39,,Er_T5_03,5.17,-20.04,1.2,24.1,19.8,1.04,,0.41
57,4,15,Y,15,T5,28,"July 26, 2022",Ecklonia radiata,0.55,0.55,5.48,8.55,0.34,,Er_T5_04,5.64,-24.02,2,23.3,11.6,1.02,,0.35
58,5,15,N,dark,T5,28,"July 26, 2022",Ecklonia radiata,1.32,1.32,8.66,10.63,0.82,,Er_T5_05,5.67,-21.87,0.7,23.6,32.6,1.03,,0.85
59,6,15,N,dark,T5,28,"July 26, 2022",Ecklonia radiata,0.52,0.52,5.06,8.55,0.32,,Er_T5_06,5.26,-23.32,1.4,18.8,13.8,0.83,,0.26
60,7,15,N,dark,T5,28,"July 26, 2022",Ecklonia radiata,0.61,0.61,5.50,7.64,0.38,,Er_T5_07,5.48,-22.26,0.8,20.5,24.6,0.84,,0.31
61,8,15,N,dark,T5,28,"July 26, 2022",Ecklonia radiata,0.34,0.34,0.44,1.20,0.21,,Er_T5_08,6.55,-20.21,2,25.2,12.3,0.98,,0.20
62,9,20,Y,20,T5,28,"July 26, 2022",Ecklonia radiata,0.42,0.42,2.47,2.99,0.26,ww calculated based on buoyant mass,Er_T5_09,5.42,-23.48,0.9,19.6,21.1,0.73,,0.19
63,10,20,Y,20,T5,28,"July 26, 2022",Ecklonia radiata,0.54,0.00,0.00,3.95,0.00,,Er_T5_10,5.07,-20.07,1.7,25.8,15.4,0.90,,0.00
64,11,20,Y,20,T5,28,"July 26, 2022",Ecklonia radiata,1.39,1.39,6.98,8.45,0.87,ww calculated based on buoyant mass,Er_T5_11,5.4,-22.57,0.8,26.7,32.7,0.95,,0.82
65,12,20,Y,20,T5,28,"July 26, 2022",Ecklonia radiata,0.00,0.00,0.00,,0.00,,Er_T5_12,,,,,,,,0.00
