x,x1,x2,owner,sample_code
J142-16S,J142,142,maria,T4 L2
J143-16S,J143,143,maria,T4 L3
J144-16S,J144,144,maria,T4 L4
J145-16S,J145,145,maria,T4 S1
J146-16S,J146,146,maria,T4 S2
J147-16S,J147,147,maria,T4 S3
J148-16S,J148,148,maria,T4 S4
J149-16S,J149,149,maria,T4 LS1
J150-16S,J150,150,maria,T4 LS2
J151-16S,J151,151,maria,T4LS3
J152-16S,J152,152,maria,T4 LS 4
J153-16S,J153,153,maria,T7 C1
J154-16S,J154,154,maria,T7 C2
J155-16S,J155,155,maria,T7 C3
J156-16S,J156,156,maria,T7 L1
J157-16S,J157,157,maria,T7 C4
J158-16S,J158,158,maria,T7 L2
J159-16S,J159,159,maria,T7 L3
J160-16S,J160,160,maria,T7 L4
J161-16S,J161,161,maria,T7 S1
J162-16S,J162,162,maria,T7 S2
J163-16S,J163,163,maria,T7 S3
J164-16S,J164,164,maria,T7 S4
J165-16S,J165,165,maria,T7 LS1
J166-16S,J166,166,maria,T7 LS2
J167-16S,J167,167,maria,T7 LS 3
J168-16S,J168,168,maria,T7 LS4
J169-16S,J169,169,blank,blank
J170-16S,J170,170,luka,e1.0
J171-16S,J171,171,luka,e2.0
J172-16S,J172,172,luka,e3.0
J173-16S,J173,173,luka,e4.0
J174-16S,J174,174,luka,e5.0
J175-16S,J175,175,luka,e1.1
J176-16S,J176,176,luka,e2.1
J177-16S,J177,177,luka,e3.1
J178-16S,J178,178,luka,e4.1
J179-16S,J179,179,luka,e5.1
J180-16S,J180,180,luka,e6.1
J181-16S,J181,181,luka,e7.1
J182-16S,J182,182,luka,e8.1
J183-16S,J183,183,luka,e9.1
J184-16S,J184,184,luka,e10.1
J185-16S,J185,185,luka,e11.1
J186-16S,J186,186,luka,e12.1
J187-16S,J187,187,luka,e13.1
J188-16S,J188,188,luka,e14.1
J189-16S,J189,189,luka,e15.1
J190-16S,J190,190,luka,e16.1
J191-16S,J191,191,luka,e1.2
J192-16S,J192,192,luka,e2.2
J193-16S,J193,193,luka,e3.2
J194-16S,J194,194,luka,e4.2
J195-16S,J195,195,luka,e5.2
J196-16S,J196,196,luka,e6.2
J197-16S,J197,197,luka,e7.2
J198-16S,J198,198,luka,e8.2
J199-16S,J199,199,luka,e9.2
J200-16S,J200,200,luka,e10.2
J201-16S,J201,201,luka,e11.2
J202-16S,J202,202,luka,e12.2
J203-16S,J203,203,luka,e13.2
J204-16S,J204,204,luka,e14.2
J205-16S,J205,205,luka,e15.2
J206-16S,J206,206,luka,e16.2
J207-16S,J207,207,luka,e1.3
J208-16S,J208,208,luka,e2.3
J209-16S,J209,209,luka,e3.3
J210-16S,J210,210,luka,e4.3
J211-16S,J211,211,luka,e5.3
J212-16S,J212,212,luka,e6.3
J213-16S,J213,213,luka,e7.3
J214-16S,J214,214,luka,e8.3
J215-16S,J215,215,luka,e9.3
J216-16S,J216,216,luka,e10.3
J217-16S,J217,217,luka,e11.3
J218-16S,J218,218,luka,e15.3
J219-16S,J219,219,luka,e16.3
J220-16S,J220,220,luka,e1.4
J221-16S,J221,221,luka,e2.4
J222-16S,J222,222,luka,e3.4
J223-16S,J223,223,luka,e4.4
J224-16S,J224,224,luka,e5.4
J225-16S,J225,225,luka,e6.4
J226-16S,J226,226,luka,e7.4
J227-16S,J227,227,luka,e8.4
J228-16S,J228,228,luka,e11.4
J229-16S,J229,229,luka,e1.5
J230-16S,J230,230,luka,e2.5
J231-16S,J231,231,luka,e3.5
J232-16S,J232,232,luka,e1.6
J233-16S,J233,233,luka,e2.6
