Variable,Baseline,Dark 15°C,Light 15°C,Light 20°C,Light 25°C
Total,12 ± 1.8,12 ± 2.9,13 ± 5.2,11 ± 4,13 ± 4
Richness,365 ± 135,515 ± 156,434 ± 175,418 ± 135,543 ± 195
D,28 ± 25,26 ± 14,21 ± 18,18 ± 12,23 ± 11
G,93 ± 7.9,94 ± 7.3,91 ± 7.3,91 ± 6.6,94 ± 4
E,0.069 ± 0.038,0.051 ± 0.023,0.049 ± 0.03,0.039 ± 0.021,0.041 ± 0.014
H,3.8 ± 0.92,4.1 ± 0.72,3.8 ± 0.75,3.7 ± 0.72,4.1 ± 0.71
J,0.64 ± 0.13,0.66 ± 0.094,0.63 ± 0.099,0.61 ± 0.095,0.66 ± 0.079
Saprotrophs,72 ± 22,42 ± 19,28 ± 15,32 ± 21,31 ± 15
Alphaproteobacteria,22 ± 13,33 ± 13,46 ± 19,56 ± 22,48 ± 27
Gammaproteobacteria,69 ± 20,52 ± 15,41 ± 18,36 ± 21,36 ± 24
Bacteroidia,6 ± 7.4,9.6 ± 11,8.2 ± 9.8,4 ± 2.5,10 ± 12
Other,2.2 ± 2,3.8 ± 2.6,3.8 ± 3.3,2.8 ± 1.4,4.2 ± 2.4
Verrucomicrobiia,1.2 ± 2.6,1.2 ± 1.5,1.2 ± 1.4,1 ± 2,1.4 ± 1.3
Aquimarina latercula,0.83 ± 1.7,1.5 ± 3.2,1.9 ± 6.6,0.12 ± 0.16,2.3 ± 5.7
Sulfitobacter donghicola,2.5 ± 2.2,1.1 ± 0.82,1.1 ± 1.2,1.5 ± 1.5,0.67 ± 0.64
Shewanella surugensis,14 ± 30,0.0043 ± 0.014,0.0097 ± 0.04,0 ± 0,0 ± 0
Alteromonas stellipolaris,4.6 ± 4.1,0.37 ± 0.63,0.35 ± 0.96,0.098 ± 0.19,0.031 ± 0.031
Paraglaciecola aquimarina,0.18 ± 0.12,0.33 ± 0.42,0.24 ± 0.3,1.4 ± 2.7,0.51 ± 0.47
Sulfitobacter noctilucae,2.2 ± 2.6,0.56 ± 1.1,0.069 ± 0.14,0.063 ± 0.15,0.11 ± 0.23
Pseudoalteromonas agarivorans et al.,2.5 ± 5,0.051 ± 0.076,0.075 ± 0.16,0.018 ± 0.033,0.027 ± 0.073
Vibrio tritonius,0.074 ± 0.13,0.18 ± 0.51,0.11 ± 0.3,0.28 ± 0.64,0.65 ± 0.88
Pseudomonas xanthomarina,0 ± 0,0.2 ± 0.2,0.26 ± 0.37,0.41 ± 0.47,0.056 ± 0.069
Vibrio penaeicida,0.0093 ± 0.014,0.061 ± 0.12,0.019 ± 0.039,0.18 ± 0.43,0.71 ± 1.2
n,5 ± 0,16 ± 0,21 ± 0,12 ± 0,10 ± 0
