File,Number,Sample,Date,Days,Tank,Temperature,PAR,Treatment,Reads_sum,R,D,G,E,H,J,Saprotrophs,Reads_slope,R_rare,Slope,R_rare_conv,E_rare,J_rare,Alphaproteobacteria,Gammaproteobacteria,Bacteroidia,Other,Verrucomicrobiia,LAP_mean,LAP_sd,BG_mean,BG_sd,BG_LAP_mean,BG_LAP_sd,n
e1.0_F_filt.fastq.gz,170,e1.0,2022-06-29,0,3,15,8,Light 15°C,21818,302,26.372799289434546,0.9620821442189256,0.08732714996501505,3.8853409135830583,0.6803941109414934,0.7371894765789717,7927,249.65657068041241,0.007660897256272392,243.55292036811142,0.10563631158418257,0.7038551090104358,0.3674947291227427,0.5762214685122375,0.017875148959574684,0.0375378128151068,8.708405903382528e-4,0.486417935,0.12794416131614308,0.01205297088888889,0.013053449442937548,0.024706828396492082,0.02474801516276371,9
e2.0_F_filt.fastq.gz,171,e2.0,2022-06-29,0,10,20,8,Light 20°C,18853,327,23.17385824274601,0.9568479279744871,0.07086806802063,3.8558970037463247,0.6659626128565902,0.7484220018034269,8834,288.92373907674187,0.007661356479900405,274.1434618053655,0.08020752575332944,0.6805129250766283,0.20357502784702688,0.779398504216836,0.008698880814724447,0.008009335384288973,3.1825173712406516e-4,1.0387644294444445,0.2517846787979039,0.11870716344444446,0.22865649502207067,0.10549633299264996,0.19716148095753683,9
e3.0_F_filt.fastq.gz,172,e3.0,2022-06-29,0,15,25,8,Light 25°C,27558,325,16.643410118466498,0.9399161594359523,0.05121049267220461,3.609938046773077,0.6241436995367461,0.8681326656506282,9476,265.06486099436006,0.007660070515782991,244.3694936163467,0.06278995282901957,0.6469452524397751,0.1744321068292329,0.8013643950939848,0.00762029174831265,0.01545830611800566,0.0011249002104652007,2.2521291333333333,0.7893442148612041,0.006287499777777778,0.009568005190844468,0.0027608772778047177,0.0037204032149603353,9
e4.0_F_filt.fastq.gz,173,e4.0,2022-06-29,0,5,15,0,Dark 15°C,25331,602,71.20933556959005,0.9859568974769785,0.11828793283985059,5.040007800980665,0.7874695422876818,0.3370968378666458,11954,550.1601208707827,0.007660416298222117,496.7000544055188,0.12943383729246188,0.7987069064879008,0.3201215901464609,0.3938652244285656,0.17962180727172236,0.047964944139591806,0.05842643401365916,0.6946437968888889,0.3437035252516694,0.32985307677777775,0.5724742169095988,0.39430485409969557,0.44134332021769873,9
e5.0_F_filt.fastq.gz,174,e5.0,2022-06-29,0,4,15,8,Light 15°C,26566,268,4.7179629923349315,0.788044119543825,0.017604339523637803,2.468512429323805,0.4415163973603554,0.8893322291650976,8148,194.84280319373386,0.007660644030465846,186.98085105605173,0.024214201987454578,0.4682135848173548,0.0240533012120756,0.8878265452081598,0.08567341714974026,0.002371452232176466,7.528419784687193e-5,5.976226990777778,6.169882816973791,0.7262116701111112,1.1819420818882949,0.10356384029188503,0.12843367669114913,9
e1.1_F_filt.fastq.gz,175,e1.1,2022-07-05,6,1,15,8,Light 15°C,32556,574,49.969526641864846,0.979987803223211,0.08705492446317917,4.690571316011536,0.7383669065802967,0.41844821231109447,13890,502.1121150758169,0.007660675718227594,425.6528357906314,0.09951866354453456,0.7542538178857338,0.3059036736699838,0.5667465290576228,0.09970512347954302,0.01164147929721096,0.016003194495638286,0.7073762583333333,0.3179379409462585,0.32374919133333335,0.2561092530750214,0.5337075432845455,0.40620387903535243,3
e2.1_F_filt.fastq.gz,176,e2.1,2022-07-05,6,2,15,8,Light 15°C,21265,471,28.82325426106887,0.9653057912565173,0.06119586891946681,4.418993294884208,0.7179683475042634,0.5723959557959085,10908,425.3976452073284,0.00766080822091908,387.32479860049017,0.06775602682760766,0.7300471676237028,0.35203385845285734,0.4995532565248066,0.06988008464613203,0.07006818716200326,0.00846461321420174,1.0485194136666667,0.11604496026275132,0.08177867333333333,0.019018734535537752,0.07811484576803604,0.015753492168549203,3
e3.1_F_filt.fastq.gz,177,e3.1,2022-07-05,6,3,15,8,Light 15°C,32554,862,72.45656563004657,0.9861986282222391,0.08405634063810506,5.264676542431682,0.7788841124674291,0.3185169257234128,17560,796.8912027523187,0.007660051823563663,647.9616168798844,0.09092403753460276,0.7880405093513363,0.3668059224672842,0.39881427781532136,0.11826503655464736,0.09491921115684707,0.021195552005897882,1.353265265,0.4600358891527812,0.048571678,0.037871717396936976,0.032062484794793365,0.017540574989195177,3
e4.1_F_filt.fastq.gz,178,e4.1,2022-07-05,6,4,15,8,Light 15°C,36989,494,12.114484697480586,0.9174541860449115,0.024523248375466773,3.6291793842470192,0.5851122293762213,0.5382681337694998,14015,406.6502358120288,0.007660244333635546,332.3802410605346,0.029790920133833197,0.6040625011114457,0.2900321717267299,0.17137527373002753,0.44743031712130665,0.028657168347346513,0.06250506907458973,3.7152963476666665,4.898585637789584,0.03762900166666667,0.010643597401047278,0.033449788368226485,0.026638826919277533,3
e5.1_F_filt.fastq.gz,179,e5.1,2022-07-05,6,5,15,0,Dark 15°C,19285,521,49.25632674381495,0.9796980394985387,0.09454189394206325,4.820991552022745,0.7706496455014231,0.48773658283640214,10341,483.4258218185183,0.007660591594969901,451.04974713936906,0.10189014430078613,0.7799823977935992,0.3390199637023601,0.40876328752916846,0.13347161005963212,0.10106300233341979,0.01768213637542131,0.9145541306666666,0.39493718667315225,0.195681984,0.13849480693920113,0.20765764945329507,0.07527962618909968,3
e6.1_F_filt.fastq.gz,180,e6.1,2022-07-05,6,6,15,0,Dark 15°C,19086,454,28.327042278185964,0.9646980440040478,0.06239436625151093,4.3099960046466705,0.7044667427033483,0.6500052394425239,10053,417.5673608362621,0.007660342992096503,388.501697911544,0.06783825781175856,0.71423227487886,0.3130566907681025,0.5665933144713409,0.031803416116525186,0.08556009640574244,0.0029864822382898457,0.6335859796666666,0.2357119575533221,0.034573579,0.02889070115101508,0.04596958186007311,0.03690368951424595,3
e7.1_F_filt.fastq.gz,181,e7.1,2022-07-05,6,7,15,0,Dark 15°C,28138,418,22.96066602101065,0.9564472564042816,0.054929823016771885,4.033626468023955,0.6683189258585147,0.6871135119766856,9900,360.77170958492746,0.007660068295990641,334.77743818923636,0.06364319987126262,0.6850302953128931,0.34590233847466023,0.5716113440898416,0.031629824436704826,0.05007463217001919,7.818608287724785e-4,1.445921164,0.7614987051230192,0.06993595033333333,0.020542164675327195,0.0719105674438725,0.06989818657988851,3
e8.1_F_filt.fastq.gz,182,e8.1,2022-07-05,6,8,15,0,Dark 15°C,22279,417,26.179788484136232,0.961802594371381,0.06278126734804852,4.230246750683023,0.7011745887864584,0.5884465191435883,9897,367.7260199114328,0.0076610617733194886,341.8619255545386,0.0711937341024757,0.7161003219099318,0.40217244939180374,0.5517752143273935,0.012343462453431488,0.029983392432335384,0.003725481395035684,1.053307352,0.6069291816059545,0.142010763,0.09124807888522281,0.18124003620394938,0.1321242722723227,3
e9.1_F_filt.fastq.gz,183,e9.1,2022-07-05,6,9,20,8,Light 20°C,15167,409,32.80284034364294,0.9695148350105055,0.08020254362748885,4.378587287932188,0.7281002133152952,0.27816971055581247,9086,378.8156504598321,0.007661157673112484,361.44353408963724,0.08659314973873078,0.73750221517834,0.6779191666117242,0.22285224500560483,0.0538010153622997,0.03435089338695852,0.01107667963341465,0.6378592076666667,0.40213523287161573,0.014748860333333332,0.005656608178626599,0.03715205530459907,0.037315946587712194,3
e10.1_F_filt.fastq.gz,184,e10.1,2022-07-05,6,10,20,8,Light 20°C,19975,407,23.299103850132813,0.957079894298411,0.05724595540573173,4.158628068690652,0.6920880946616311,0.3569962453066329,9584,360.88547203121726,0.007660390694070429,338.6370643296215,0.06456093596396531,0.7062214880046395,0.5904380475594495,0.36620775969962355,0.026082603254067596,0.016070087609511896,0.0012015018773466834,0.599539794,0.15271576557582986,0.029524811999999998,0.03890580630817293,0.06454088980594164,0.09237516393772346,3
e11.1_F_filt.fastq.gz,185,e11.1,2022-07-05,6,11,20,8,Light 20°C,24809,323,6.256980419836442,0.8401784993877062,0.019371456408162357,2.654007011109672,0.45935734146587087,0.054536660083034344,10764,260.389253811817,0.007660618341958525,226.76234401151854,0.024029334268757318,0.47715250791665104,0.26941835624168603,0.6901527671409567,0.015437945906727391,0.014309323229473174,0.01068160748115603,0.814788154,0.38992904146778795,0.040660739,0.01916559482199165,0.06334638713567868,0.042151064104128874,3
e12.1_F_filt.fastq.gz,186,e12.1,2022-07-05,6,12,20,8,Light 20°C,18313,415,26.02601678421608,0.9615769094329307,0.06271329345594236,4.213322384301402,0.6989262971446384,0.32736307541091025,9608,376.6192357870036,0.007661054226957731,353.6200980470294,0.06910432158312553,0.7103617716705697,0.7026702342598151,0.22770709332168432,0.019985802435428406,0.047944083437994875,0.0016927865450772676,1.2441036786666666,1.0811790838333113,0.098263744,0.039950369006310965,0.10323348886272489,0.052400661888823155,3
e13.1_F_filt.fastq.gz,187,e13.1,2022-07-05,6,13,25,8,Light 25°C,33238,522,20.06790981489164,0.9501692000201267,0.038444271676037624,4.031385943702324,0.6442313988535773,0.4093808291714299,14454,446.89522570025036,0.007660025915924962,364.17229463112324,0.044905178352368326,0.6606312332137667,0.701967627414405,0.2221854503881096,0.027197785667007663,0.024279439196100847,0.024369697334376317,1.4070862973333333,0.7273053450953065,0.118656913,0.0742628598855284,0.1020699335155425,0.06234127146082136,3
e14.1_F_filt.fastq.gz,188,e14.1,2022-07-05,6,14,25,8,Light 25°C,13577,548,28.57732639773321,0.9650072233461517,0.052148405835279577,4.658860695811078,0.7387658298795547,0.409000515577816,13577,548,0.007660013258828258,474.76830069990416,0.052148405835279577,0.7387658298795547,0.539073433011713,0.3406496280474345,0.04514988583634084,0.06444722692789276,0.01067982617662223,12.355014347333332,18.269777591702546,0.239381632,0.19217714922276932,0.05083092951791205,0.037116582883191356,3
e15.1_F_filt.fastq.gz,189,e15.1,2022-07-05,6,15,25,8,Light 25°C,37318,688,32.90440154304395,0.9696089291065862,0.04782616503349412,4.585682198315993,0.7018411999623878,0.342488879361165,16122,608.2286642973543,0.007660682198661561,493.32952864362653,0.05409873535154118,0.7153335597971917,0.6712846347607028,0.1811994211908465,0.08108687496650427,0.020499490862318455,0.04592957821962592,0.7716963033333334,0.3094898631631716,0.024673063,0.020931127760508057,0.031363155176791176,0.01886247451739476,3
e16.1_F_filt.fastq.gz,190,e16.1,2022-07-05,6,16,25,8,Light 25°C,25073,566,41.68337262935084,0.9760096187779234,0.07364553468083188,4.6406725685169485,0.7321296349414524,0.44677541578590485,13495,509.9727973636339,0.007660078158494343,438.97022795418115,0.08173646289535065,0.744370635390925,0.4471343676464715,0.3839987237267175,0.09831292625533429,0.06800143580744224,0.0025525465640330236,1.5173530346666666,0.7888861870615594,0.395824004,0.2616191746576837,0.24072940411228502,0.07404430767211834,3
