Treatment,Days,Reads_sum,R,D,G,E,H,J,Saprotrophs,Reads_slope,R_rare,Slope,R_rare_conv,E_rare,J_rare,Alphaproteobacteria,Gammaproteobacteria,Bacteroidia,Other,Verrucomicrobiia,LAP_mean,LAP_sd,BG_mean,BG_sd,BG_LAP_mean,BG_LAP_sd,n
Light 15°C,0,25331,325,23.17385824274601,0.9568479279744871,0.07086806802063,3.8558970037463247,0.6659626128565902,0.7484220018034269,8834,265.06486099436006,0.007660644030465846,244.3694936163467,0.08020752575332944,0.6805129250766283,0.20357502784702688,0.779398504216836,0.017875148959574684,0.01545830611800566,8.708405903382528e-4,1.0387644294444445,0.3437035252516694,0.11870716344444446,0.22865649502207067,0.10356384029188503,0.12843367669114913,9
Dark 15°C,0,25331,325,23.17385824274601,0.9568479279744871,0.07086806802063,3.8558970037463247,0.6659626128565902,0.7484220018034269,8834,265.06486099436006,0.007660644030465846,244.3694936163467,0.08020752575332944,0.6805129250766283,0.20357502784702688,0.779398504216836,0.017875148959574684,0.01545830611800566,8.708405903382528e-4,1.0387644294444445,0.3437035252516694,0.11870716344444446,0.22865649502207067,0.10356384029188503,0.12843367669114913,9
Light 20°C,0,25331,325,23.17385824274601,0.9568479279744871,0.07086806802063,3.8558970037463247,0.6659626128565902,0.7484220018034269,8834,265.06486099436006,0.007660644030465846,244.3694936163467,0.08020752575332944,0.6805129250766283,0.20357502784702688,0.779398504216836,0.017875148959574684,0.01545830611800566,8.708405903382528e-4,1.0387644294444445,0.3437035252516694,0.11870716344444446,0.22865649502207067,0.10356384029188503,0.12843367669114913,9
Light 25°C,0,25331,325,23.17385824274601,0.9568479279744871,0.07086806802063,3.8558970037463247,0.6659626128565902,0.7484220018034269,8834,265.06486099436006,0.007660644030465846,244.3694936163467,0.08020752575332944,0.6805129250766283,0.20357502784702688,0.779398504216836,0.017875148959574684,0.01545830611800566,8.708405903382528e-4,1.0387644294444445,0.3437035252516694,0.11870716344444446,0.22865649502207067,0.10356384029188503,0.12843367669114913,9
Light 15°C,6,32555,534,39.39639045146686,0.9726467972398641,0.07262610477878594,4.554782305447873,0.7281676270422801,0.47835817304029715,13952.5,463.7548801415727,0.00766046002593157,406.4888171955608,0.07934003218110522,0.7421504927547182,0.32896876606142056,0.449183767170064,0.1089850800170952,0.049362677754674886,0.018599373250768082,1.2008923393333335,0.3889869150495199,0.06517517566666667,0.028445225966237365,0.05578231706813126,0.022089700954236353,3
Dark 15°C,6,20782,436,27.253415381161098,0.9632503191877144,0.06258781679977973,4.270121377664847,0.7028206657449034,0.6192258792930561,9976.5,392.64669037384743,0.007660467293533202,365.1818117330413,0.06951599595711713,0.7151662983943958,0.34246115108851016,0.5591842643993672,0.03171662027661501,0.06781736428788082,0.003355981816662765,0.9839307413333334,0.5009331841395535,0.10597335666666667,0.060069390018118944,0.12657530182391094,0.0725889063844941,3
Light 20°C,6,19144,408,24.662560317174446,0.9593284018656709,0.05997962443083704,4.185975226496026,0.6955071959031347,0.3027663929833614,9596,368.7523539091104,0.007660836284458128,346.1285811883255,0.06683262877354543,0.7082916298376045,0.6341786070855868,0.29695742651065393,0.023034202844748,0.02521049049823521,0.006187197013116649,0.7263236808333333,0.39603213716970187,0.0350927755,0.02903570056508229,0.06394363847081017,0.047275862996476015,3
Light 25°C,6,29155.5,557,30.74086397038858,0.967308076226369,0.04998728543438685,4.61317738341647,0.7169854174519201,0.409190672374623,14015.5,528.9863986818169,0.0076600520372096526,456.86926432704263,0.05312357059341038,0.7270496948383732,0.6051790338862079,0.281417539217772,0.06311838040142255,0.0443633330619968,0.017524761755499274,1.462219666,0.758095766078433,0.1790192725,0.13322000455414887,0.07645043151672727,0.04972892717200636,3
Light 15°C,13,31193.5,564.5,14.628796519845704,0.9316129547389611,0.025912021533004655,3.859930192389438,0.6092285147194065,0.21988352956833895,13977.5,500.6288378333557,0.0076604978548004965,418.3774843569763,0.029218620014524466,0.6209899427442942,0.6195495003625969,0.27266586695525896,0.028000632826033253,0.049751351775684904,0.005243719854855559,1.0973082543333335,0.42924276734812683,0.11396083066666668,0.02949497272994396,0.09663293614401573,0.02648141626535718,3
Dark 15°C,13,30118.5,482.5,22.816845079168758,0.9533449503817257,0.03641735713551963,4.004507872351507,0.653580807347051,0.26792430580084753,12831,425.12938432176315,0.007660434872235555,369.73251255172636,0.040558707629634164,0.6746440960816391,0.43277161160955163,0.42888484680836503,0.05394384005718998,0.01738986186502737,0.023303125992709152,0.7125016171666667,0.35371255245040956,0.09013921766666666,0.07560264966711025,0.12571042830965715,0.09075273526764943,3
Light 20°C,13,27249,553,20.489293117624833,0.9474761493787964,0.037355654045442055,4.002448924881227,0.6347387976666216,0.4183531864882705,16350.5,471.51997197935054,0.007660051989603289,365.9058973069514,0.044613227219395125,0.6525012476568384,0.532581642416105,0.3679456170253175,0.05412766712067196,0.02266890297443894,0.006475684665049525,2.2286358806666664,2.1132048209154437,0.7166145898333334,1.0789305162123415,0.2640023255689939,0.25310716860090277,3
Light 25°C,13,26806,576,20.950350451082514,0.9493472338523647,0.030062552187361834,4.3601344911564635,0.6873322855256494,0.34974871323395484,16577,523.9603215434603,0.007660141647875207,434.5800251771776,0.03270065125825143,0.6959983617367416,0.20049556250448322,0.573747869634541,0.14199921527722564,0.033518111382389394,0.008570980396048401,27.275610100999998,16.906934886529328,3.7694598933333334,1.664588078781807,0.20781152920174045,0.11028089273231076,3
Light 15°C,27,35263.5,496,23.157056016764905,0.9536477171664068,0.053842151620826104,3.928814032216725,0.6542472376943274,0.30799631730984617,13798.5,431.5046010121078,0.0076604264090747165,346.60895015246837,0.06143047808938391,0.6786878156908638,0.36312023426291906,0.5185571144751385,0.04524488390627823,0.021830200324650502,0.010136679983341243,5.6212365958333335,7.069827936180166,0.9910531768333333,1.2652371183340845,0.18294725199033035,0.09690837283744691,3
Dark 15°C,27,25950,588,21.833656247249603,0.9540529251955785,0.03713714995262808,4.368115662298683,0.6847456042259796,0.405118056101202,15884,535.045934865124,0.0076600895021385895,443.92467258133024,0.04009904401107005,0.6929811012751379,0.27655876656092615,0.514154611604184,0.08571282490676259,0.01749191592589156,0.0052407862598754925,11.226056758166667,1.8639030196330126,1.5216794390000001,0.8173614345080964,0.29280447329200837,0.11212682892651718,3
Light 20°C,27,16630,335,7.493152309370643,0.866544818694071,0.019253701516665635,3.433267072787276,0.5739891857559916,0.20666067850480205,8252,304.40100396841007,0.007660475724605931,295.30246516559873,0.022814600347353633,0.5878986569621564,0.654943688247081,0.2620742071443376,0.04919505285704413,0.031023284737096667,0.002763767014440683,1.151800352,0.5139856872520993,0.30126126366666667,0.08999055783172565,0.2591616650923361,0.06610819523386947,3
Light 25°C,27,19229,245.5,7.764446903217653,0.8689103287849208,0.03169320901070778,2.992916930526351,0.5439350040878231,0.05785807042049113,6729.5,210.45936298764227,0.007660772434576302,213.7227849054227,0.03682536608775791,0.5594215890549887,0.8306714691772126,0.10915948323526303,0.012732935948331622,0.03747165395774467,0.009964457681448146,0.9060137396666667,0.39969128715136687,0.1887221435,0.12824221792699025,0.23857774692306022,0.17241508866110153,3
Light 15°C,37,17006,278,6.463181867800596,0.8371440981527258,0.03508645220546193,2.972904040922479,0.5178841992050436,0.24980286530166362,7208.5,234.49068294647566,0.00766042937544853,224.15884565693347,0.040949179405161545,0.5400532962694806,0.5698131578021788,0.3651437435654534,0.022079693789434827,0.026202871100826752,0.002258116708618808,0.7696322321666667,0.20976285773073,0.4642338303333333,0.29047152775221463,0.7251775465738051,0.44539407722827595,3
Dark 15°C,37,19193.5,524,27.084510903812202,0.9579793942693693,0.06037964448417955,4.361273225759042,0.6990923950906234,0.39075074103442775,10467.5,489.5211311491794,0.007660464891330321,452.7232598776876,0.07931531194626674,0.7070136022714392,0.259866306796701,0.5322246605183247,0.1011475949601156,0.04675435866917021,0.0035346042549539323,9.854475313666667,3.1995983248110456,1.8900124965,0.5732247116444416,0.2842275111722011,0.15817085696547956,3
Light 20°C,37,18174,257,6.517962379003171,0.8465778195926108,0.025361721319078486,2.939511533835114,0.5297299025754156,0.082205348299769,6954,218.84862858033435,0.007660786369626749,220.5248231354594,0.029782971094153215,0.5455278528499748,0.7711565973368545,0.17739628040057245,0.024155386816331042,0.026356333223286014,9.35402222955871e-4,1.2355296276666667,0.5672587891707658,0.19044748766666666,0.052884572106659845,0.16951969654762525,0.06195556480697688,3
Light 15°C,82,16120,341,25.55391612911096,0.9608670547814468,0.07493817046660105,4.072495463407812,0.6983157632670223,0.23734491315136474,7137,312.90837350183097,0.007660576459841195,316.8805706321727,0.08166581112269733,0.7087641769389625,0.4775434243176182,0.4029156327543432,0.0805252725470763,0.04367779711979743,0.007878411910669975,0.6981407696666666,0.32409334299053727,0.021673156,0.015818572833028344,0.04519040698052332,0.03896802896357264,3
Light 15°C,119,17827.5,252,10.21852443388102,0.8928971069087408,0.041405403847448535,3.331421103593925,0.6029325481373808,0.1588944638287427,6865.5,212.16618073180982,0.007660752112769842,214.04870584257145,0.04869753365029322,0.6220391622440749,0.49831305032549694,0.39555894296584543,0.08013849659523342,0.012041888442677198,0.013947621670746948,9.145924343833334,8.506799942887444,1.3121188211666666,1.315578455603547,0.33538112009983434,0.4477556324081484,3
